resume_text,true_label,predicted_label
marketing manager use knowledge enthusiasm advance public image credibility business driven company manner consistent existing core value almost twenty year providing top quality customer service office management marketing public relation private corporation non profit organization includes ability execute successful event project vision completion highlight customer service focused relationship building expert deadline driven exceptional multi tasker microsoft office suite expert self directed excellent written verbal communicator multi medium marketing marketing manager nov number oct number drive strategic marketing planning well tactical execution number region manage marketing communication including website collateral b b content marketing webcasts advertising proposal content digital marketing medium relation collaboration central marketing build relationship regional marketing sale technology vendor work executive sale engineer team run annual summit manage marketing department staffing foster relationship potential customer drive brand awareness create effective sale marketing opportunity pursue coordinate sponsorship speaking tradeshow event opportunity enhance reputation increase exposure target audience manage market development fund create event pay utilize crm execute effective marketing program support activity tracking data maintenance mailing list management provide input insight large complex sale pursuit written proposal requested special event coordinator feb number jun number generate annually growing source event revenue participant franciscan health system fhs objective increase community involvement support fhs managing seven successful special event st francis st clare franciscan hospice golf tournament brett erickson spectrum golf tournament franciscan hospice luncheon st joseph ball st francis gala interact fhs administrator lead community volunteer develop schedule determine fhs special event goal procedure budget manage ongoing activity approximately number volunteer seven event committee tacoma lakewood federal way gig harbor direct report number administrative assistant number volunteer per event prepare present report special event financial attendance etc result event committee franciscan foundation board trustee liaison franciscan foundation variety corporate individual donor vendor financially support special event solicit corporate sponsorship gift individual vendor support fhs special event research cultivate prospective event sponsor manage event ticket sale reservation registration oversee bank transaction credit card processing post event reconciliation maintain manage special event software public relation event outside organization wishing support franciscan foundation ticket office manager nov number feb number managed many number performance year number different theater managed number number person ticket office team number front house staff level administrative provide customer service via phone person assist patron rental organization season subscription single ticket purchase donation provided year round financial statistical report board member executive committee accurate development accounting reporting ticket office budget sale database manager patron donor using artsoft event selection committee member number number season assist board function member supervisory team met plan provide oversight operation broadway center historic downtown theater initiated website online ticket sale assisted creation promotional advertising affect ticket sale public relation training artsoft box office manager wallingford ct associate art general pierce community college high school diploma woodrow wilson high school technical operating system window number database constant connectwise raiser edge auction tracker auction pay artsoft resnet graphic tool adobe photoshop element microsoft publisher additional information one number marketing manager chosen number national number month training board member west sound roller girl roller derby team franciscan foundation scholarship award winner number,ARTS,PUBLIC-RELATIONS
software engineering team lead profile number year field infrastructure consulting operation worked various microsoft technology system center suite scom sccm scvmm virtualization hyper v window number number active directory dns dhcp window cluster scripting powershell vbscript etc currently working accenture technology currently onsite working client usa since march number looking another opportunity within usa infrastructure consulting system administration give opportunity excel current pave way learning new technology system center system center operation manager number scom currently working scom number year technical lead sme designing implementing operating scom infrastructure developing management pack using vsae vmpd authoring console professional july number january number software engineering team lead joined part avanade io capability avanade joint venture microsoft accenture specializes microsoft product solution project number stanford hospital clinic tenure march number till date currently onshore technical lead subject matter expert monitoring solution called microsoft system center operation manager scom number part designing implementing scom solution client also leading operation key activity leading designing configuring operating scom expand monitoring non trusted domain cross platform server management pack tuning configuration building new management pack using vsae vmpd authoring tool migration upgrade scom number rtm release number managing daily operational task working sla report dashboard application monitoring synthetic transaction prior joining monitoring team working core infrastructure role team identify flaw remediate core io service ad dns dhcp win file print etc also provided escalation support critical incident worked decommissioning window number domain controller environment also implemented dns scavenging project number project dealt planning deployment sccm site system across geography also software distribution osd also built customer facing artifact around designing building sccm architecture project number performing p v v v migration optimize minimize datacenter footprint project largest implementation hyper v technology outside u also case study microsoft part project involved consolidating datacenter fmcg giant part project performing v v p v migration server large number role project sme handling technical escalation getting migration done within specified change window supporting maintaining client infrastructure working u based client major producer nuclear power mainly related remote administration providing support x client implemented latest microsoft technology infrastructure part project since transition phase managing team number people operating shift achievement promoted twice within first number year tenure company given contribution significantly peer group rating yearly evaluation cycle april number july number analyst january number march number window administrator working part messaging collaboration team administer internal window infrastructure company day day task included working ticket escalated st line support helpdesk monitoring system attending scom alert etc monthly task included software update management needed task included emergency planned change team also active directory operation january number january number technical support engineer ad maintenance task account creation providing access shared folder distribution security group creation deletion replication issue group policy implementation etc providing line number support internal user company troubleshooting mail flow issue outlook network password issue handling mailbox internal user company etc also worked network router bridge network device manufactured linksys initial day company provided technical support customer spread across world setting small office network giving desktop support small scale infrastructure day day task included troubleshooting issue outlook blue screen error imaging etc national institute technology nit india bachelor engineering b e accomplishment also working system center orchestrator system center configuration manager number sccm number year working sccm designing implementing sccm infrastructure prepared artifact environment discovery questionnaire reference architecture etc avanade capability india virtualization hyper v scvmm datacenter consolidation worked datacenter consolidation worked building operating window number failover cluster hyper v scvmm core wintel service active directory dns dhcp win worked remediating core wintel service client good understanding design deployment operation core wintel service,ENGINEERING,BPO
consultant career overview director information technology two decade sound leadership area including strategy security system analysis architecting installation integration streamlining software development management network design administration management technical support help desk management telecommunication management proven business leadership strategic planning consulting change management policy development team leadership motivation training development project management process improvement procedure development operationally astute demonstrated ability new business development need assessment proposal development presentation contract negotiation post sale support client relationship management financially savvy superior budget planning forecasting business forecasting financial reporting traditional accounting function including r p general ledger payroll management recent recipient b information technology concentration cyber security technology completed case study current homeland security issue perimeter defense technique system analysis development system modeling theory project management qualification workforce planning scheduling contractor management team leadership motivation training development business partnering consulting vendor partnering management budgeting payroll management business startup growth technology implementation upgrade network architect administration network security website creation management router firewall configuration optimization custom database design custom front end system design development environment software c microsoft visual basic visual studio enterprise resource planning erp software oracle e business suite microsoft dynamic gp sage pro ma object component oriented development software borland paradox cpp practical extraction reporting language perl python phpweb platform development software hypertext markup language html javascript cs consultant number number current provide consulting support client including intuit washington home mortgage library virginia neighborworks america washington home mortgage recommend efficient use resource support planning office number migration facilitate cisco ucs reinstall conversion number verizon digital voice library virginia reviewed domain server installation process improve performance documented system installed configured citrix provisioning service configured integrated infoblox dns appliance setup hyper v server image maintenance neighborworks america created network documentation identified area inefficiency help desk process firewall change access nat rule firmware upgrade dc infrastructure backbone ucs blade server storage switch router vcenter voip etc optimization maintenance active directory maintenance domain controller multiple forest including resolving issue replication dns ad info troubleshooting domain controller issue dns management cisco asa ucs voip phone system unified communication data domain emc storage analyzed cloud service submitted recommendation improvement identified area inefficiency created vmware server image adjusted performance stability technical director consultant number number number number firm providing comprehensive technology consulting support computer networking solution served technical professional expert across team client information technology spectrum led served engagement involving management vmware esxi provision cloud service support server workstation installation maintenance san installation maintenance switch router firewall voip support window server installation upgrade tcp ip network design installation network security provisioning management led participated system project included system pci compliance check configuration exchange number number upgrade new installation campus wireless network design installation cisco voip system design implementation server installation consolidation using vmware esxi hyper v server window terminal server number wyse terminal installation director managed service manager professional service engineer number number number number firm providing comprehensive technology consulting support computer networking solution founded grew organization startup respected local consultancy drove new business development running daily back office support function including finance accounting human resource management staffing workforce management took lead delivering consulting professional service association non profit smes across dc metro area served role beyond project manager included lead programmer lead developer utilized technology included directx cpp simulator m sql number number mysql php linux window number number server platform c program vb script powershell batch scripting functioned chief architect providing onsite remote network administration peak number network node among number different business grew home business handful client profitable number number month operation effectively developing managing business development client engagement supporting operation established partnership major vendor including,CONSULTANT,INFORMATION-TECHNOLOGY
membership sale representative professional profile motivated professional twenty year business management customer service seeking front desk manager claremont club ability turn around performing department create profitable department building strong relationship recruiting talent training team establishing managing process self starter positive attitude strong problem solving qualification self motivated strategic creative thinker outgoing cheerful attitude team training development process improvement interpersonal oral written communication membership sale representative number number current achieve monthly individual team sale attrition goal enrolling prospective member club utilizing relationship selling process take sale process beyond close initial boarding new client decrease monthly attrition providing enthusiastic level service existing member create personal monthly plan outlining specific house community activity generate new sale develop maintain excel spreadsheet sale tracking purpose support club program staff member health wellness coach number number number number achieved personal training fitness non due revenue program sale goal effectively utilized visual fitness planner program feature transition member personal training client integrated new member club assured satisfaction general manager number number number number grew two woman personal training studio less number number average monthly sale number number average monthly sale client base number number implementing top mind sale approach maximize front upgrade renewal sale opportunity coach studio team four personal trainer aspect operational excellence turn client raving fan providing positive high energy environment client achieve weight loss result balanced program weight training interval cardio training nutrition support accountability develop communication tool organization including monthly constant newsletter studio contest community board develop specific interesting lead generating email director performance sport number number number number managed woman men performance apparel category running fitness soccer sale goal number million category expert spokesperson within apparel team defined strategy business plan performance category created delivered informative presentation workshop sell product director apparel accessory merchandising number number number number defined delivered apparel line north america built strategic alliance sale international product resulted number million number number sale growth traveled corporate headquarters germany every number number week represent north america strategic planning meeting increased account base number new product quickly broughtto market introduced revolutionary woman fitness apparel program increased customer base number managed team three merchandise manager one merchandising analyst recruiting interviewing new team member department created delivered informative presentation workshop sell product sale director new business number number number number managed new emerging business category across product classification exceeded sale goal number first year built strong client relationship provided high value adding service resulting number growth within new business account base developed assigned monthly sale quota number national sale manager communicated regularly strategic manager resolve issue plan business launched new category swimwear sailing limited edition created delivered informative presentation workshop sell product director sale number number number number managed sale operation department store lifestyle business segment resulting number million annual sale improved client relationship vice president level resulting expansion account base number communicated regularly territory regional manager daily support strategic planning account recruited interviewed hired new sale manager department created delivered informative presentation workshop sell product listened attentively account feedback worked product development team introduce competitive product offering trade channel manager number number number number built managed number new account number million sale established critical alliance three major department store partner within six month period recognized puma employee year increasing sale level number changed improved department expectation customer service margin analysis presentation building planned led training session customer service business analysis promote sale team professional development sale goal reinforcement bachelor art international relation number mount holyoke college usa certificate portuguese study number universidade de lisboa portugal technical mastery microsoft office word excel powerpoint strong working knowledge datatrak abc clubos software ability work several,APPAREL,FITNESS
operation associate lisa phinney licensed notary number year m office excel spreadsheet creation word memo minute invoice power point outlook asana basecamp project management website design updating social medium management design photoshop element video conferencing google g suite application kronos event planning execution work history operation associate number number current administrative operational task heartspace retreat center park managing executive management co leader plenty consulting utilizing technology proficiently expediently basecamp box m application word ppt excel outlook acting quarterback project coordination teamwork representing leadership team company partner client guest finding new way grow flourish leading special project enthusiasm supporting leadership team communication email correspondence scheduling meeting management travel vendor relationship project management coding expense ensuring accurate billing managing conference attendance speaking prep audience engagement follow budget management manage vendor relationship order swag supply directing payment needed plan travel team number conference consulting service offsite social medium manager website update schedule team meeting zoom gotomeeting note taking follow management co leader plenty consulting event preparation execution high service level assistant executive director number number current assist executive director administrative management service provide communication historic park merchant various channel e newsletter email phone call including local event information may impact historic park area coordinate special event main street activity historic park merchant includes communication coordination staff plan coordinate quarterly educational informational event hpca member provide communication historic park business regarding trash service business improvement district bid work staff evaluate program periodically update maintain main street directory map event kiosk write minute hpca committee meeting work director marketing promote historic main street maintain hpca website grant reconciliation budget management meisha lawson marketing marketing coordinator number number current keep hpca website current regarding calendar event member promotion meeting notice merchant information business landing page information blog update social medium marketing image manipulation hpca lange group gorgoza tmi goldminer daughter assist director marketing advertising campaign promotion initiative event planning permitting management execution autumn aloft halloween main electric parade fieldhouse manager zumba fitness instructor number number number number provided fieldhouse manager expert administrative support created first rate customer service fieldhouse patron focused customer relationship building human connection front desk team planned executed event fieldhouse annually kid carnival monster ball color run christmas event developed zumba fitness program enhance community physical health emotional health come along dance fitness created following fitness student become lifelong friend power joy self expression sharing passion life administrative administrative support photoshop advertising billing budget management color conference consulting client customer service directing email event planning special event executive management image kronos leadership director managing marketing meeting excel m office outlook power point word newsletter coding project coordination project management speaking relationship building scheduling spreadsheet teamwork phone video conferencing website design website b multidisciplinary study environmental science number number number number university massachusetts multidisciplinary study environmental science cum laude,FITNESS,DIGITAL-MEDIA
digital medium consultant dynamic result driven outside sale territory manager number year successful new business development competitive market share expansion customer relationship development creative goal oriented motivated team leader develops strong working relationship adapts well changing environment provides clear direction highlight successful sale revenue generation leadership team building experienced account management effective presentation operation management training instruction client relation customer service development adapt creating executing strategy accomplishment number number president club award recipient number top five digital solution medium consultant working ny daily news started successful magazine publishing company number distribution spanning far japan generated number number advertising revenue digital medium consultant number number number number achieved monthly sale goal vigorous marketing selling ny daily news digital solution product small mid sized business maintained daily number number face face cold call regimen setup appointment perspective client nyc northern nj area provided client multi service solution based insight marketing need presented created custom presentation outlining detail benefit based client marketing need goal developed implemented innovative marketing strategy reach sale goal strong knowledge internet sale marketing tool use social medium successfully managed campaign execution according client program goal manage existing client relationship continuously looking way grow revenue across team account drove weekly pipeline development qualified daily meeting field key client decision maker owner sale marketing director number number number number overall profitability n multi medium inc setting publication overall direction including editorial marketing circulation advertising sale determined target market production mode planned organized directed controlled resource producing publication including setting budget allocating controlling cost successfully increased magazine production number copy number number copy sold quarterly first number month production building advertising base number number client client harley davidson aprilla motorsports achieving annual gross sale number number advertising revenue developed urban biker brand traditional non tradition marketing social medium urban biker website sponsorship promotional material directed development advertising sale support marketing material medium kit email blast weekly newsletter created promotional program help meet sale objective grow business managed staff number graphic designer number freelance writer photographer full time sale staff number account manager major account manager number number number number developed managed hotel vertical market simplex grinnell northern new jersey area increasing hotel vertical market northern nj number achieved goal marketing selling life safety product new client selling existing account base maintaining ambitious number call per day schedule conducted custom presentation new existing client covered safety need benefit new product sold test inspection service life safety system along fire alarm monitoring security monitoring service provide solution customer need regarding security life safety surveyed customer business analyzed customer requirement recommend proper test inspection service meet nfpa code customer need compiled list prospective customer use sale lead based information business directory source effectively presented simplex grinnell product line service sale manager number number number number training managing number whole sale account manager parsippany nj office ensured account manager new date marketing material loan rate weekly scheduled training new account manager provided supervision needed account manager developing new territory growing account base daily face face calling promoting benefit wachovia bank loan program conducted presentation training loan product new seasoned mortgage loan officer conducted weekly sale meeting training ensuring working company standard provided coaching lacking sale number established sale objective creating sale plan quota account representative support regional objective wrote designed produced weekly marketing material directing managing sale activity branch increased loan sale number first number month reviewed loan agreement ensure complete accurate according policy conferred underwriter aid resolving mortgage application problem performance development account manager territory sale manager number number number number leading team six driver six pre sale agent covering south carolina northern georgia ensuring,DIGITAL-MEDIA,BUSINESS-DEVELOPMENT
bartender bartender number number marketing public relation number year maintain proper adequate set bar daily basis maintaining stock preparing storing garnish juice perishable ensure product quality attend stand ups prior function obtain detail order execute event flawlessly set breakdown mobile bar per hotel standard greets guest warm genuine hospitality promote sell product handle production consumption sheet assist cash bar set closing process perform general cleaning task adhere health department regulation bartender byron nelson golf tournament may number dallas texas greet guest stock bar complete pre opening requirement maintain clean bar area prepare serve alcoholic beverage according standard recipe comply basic safety sanitation requirement organizational product operate club po work large small event minimal supervision team environment complete pre closing requirement assure local law club policy procedure service alcoholic beverage consistently followed provide guest ordered beverage food promptly professionally check identification guest whose age appears younger number abiding b c liquor law responsibly make recommendation inquiring guest without delay accurately complete code liquor beer pouring wine water beverage supply requisition assure proper documentation beverage transfer department keep bar storage area beer cooler clean sanitary properly sanitize blender cup strainer knife pour spout operate po system serve cashier complete closing report per shift accounting cash receipt credit card voucher closed check cashier depositing night audit drop monitor alcohol consumption behavior guest alerting manager intoxicated questionable guest provided bar back clear instruction priority completed carry tray dirty dish dishwasher unload rack properly ensure coverage entrance greeting arriving guest thanking leaving communicate guest cordial manner smile time expedite large quantity drink efficiently accurately club hour addition serving multiple guest time keep bar top clean ashtray emptied pick trash empty beer bottle maintain knowledge drink recipe beer item available price drink garnished prepare fresh fruit garnish juice syrup mixer scratch stock bar start shift break clean bar close verify alcohol inventory liquor cabinet accurate start shift properly request replacement alcohol bottle bar requisition sheet end shift ensure proper set bar top including match ashtray beverage napkin stir stick sword pick garnish tray ice garnish verify legal age guest appear age number bartender american family insurance golf championship june number madison wi provide friendly service guest fellow employee set assigned service bar location beverage garnish glassware supply set assigned table section making sure surface furniture clean complete transaction according department policy procedure engage guest visit complete opening closing side work maintain clean safe work area thru shift count drawer bank turn completed correct paperwork fund accounted balanced assist management keeping event area clean perfect condition maintain product supply service bartender st jude golf tournament may number memphis tn recognizes level intoxication prevent customer overly intoxicated maintains safe work environment inform customer current bar special practice suggestive selling beverage food restock bar supply dry good glassware juice soda garnish informs manager supervisor supply needed provide full bar service including beer crafted cocktail help maintain cleanliness bar lounge area equipment tv sign table chair etc clean bar table ashtray wipe clean check chair spill maintain clean alcohol soda control device record sale ringing exact amount register greet customer courteous manner review shortage overage record management review setup bar area seating area prior opening maintain security bar supply inventory maintain record daily operation required change tap empty keg report problem leak manager supervisor greet guest prepare signature cocktail drink restock beverage accept different type payment make change maintain specific side work ensure total cleanliness smooth operation bar area clear reset table check identification guest ensure guest legal age consume alcoholic beverage refuse serve beverage polite manner guest legal age interact guest friendly fast manner serve multiple table determined management,PUBLIC-RELATIONS,CHEF
automobile transporter professional dedicated class driver clean driver license self motivated customer focused exceptional leader talented leadership communication management excellent team player number year military trucking industry talented mechanist tech number year developing executing maintenance program excellent troubleshooting area expertise include mechanic technology management key quality control osha regulatory compliance dependable independent worker clean good following instruction solid communication strong organizational strong work ethic team player timely project completion number number current automobile transporter conducted daily dot pre trip inspection according set checklist hooked unhooked trailer tractor coordinated daily delivery schedule based customer schedule peak delivery time alternate route perform emergency repair including service hydraulic system maintain accurate record vehicle log record cargo billing statement accordance regulation obeyed traffic law followed established traffic transportation procedure transported freight origin destination safe timely manner number number number number driver car hauler coordinated daily delivery schedule based customer schedule peak delivery time alternate route conducted daily dot pre trip inspection according set checklist maintained record required compliance federal regulation interacted customer vendor friendly timely manner transported freight origin destination safe timely manner checked load accuracy stability trip picked customer load timely accurate manner maintained telephone radio supervisor receive delivery instruction conducted emergency roadside repair including changing tire replacing light bulb installing fuse tire chain recorded expense maintained receipt number number number number independent contractor facilitated successful internal external audit sound thorough documentation composed effective accounting report summarizing account payable data posted receipt appropriate general ledger account reconciled discrepancy account receivable general ledger account account receivable trial balance account balanced monthly general ledger account accurately record cost month end accrual supervised invoice processing purchase order expense report credit memo payment transaction process account payable number employee entered financial data company accounting database verified reconciled tracked financial progress creating quarterly yearly balance sheet streamlined bookkeeping procedure increase efficiency productivity developed monthly quarterly annual profit loss statement balance sheet performed periodic budgeting modeling project monthly cash requirement drove car transporter applying knowledge commercial driving regulation order assure prompt delivery dealership verified content inventory match bill lading form maintain driver log number number number number driver car hauler transport automobile manufacturing plant dealership worker directly training department co signees management achieve prompt delivery new pre owned vehicle perform emergency repair including service hydraulic system maintain accurate record vehicle log record cargo billing statement accordance regulation obeyed traffic law followed established traffic transportation procedure trained new driver number number number number driver car hauler coordinated daily delivery schedule based customer schedule peak delivery time alternate route obtained maintained proper delivery authorization pickup documentation conducted daily dot pre trip inspection according set checklist loaded unloaded trailer mechanical freight handling equipment delivered personal vehicle home place business within established time frame interacted customer vendor friendly timely manner number number number number driver safely loaded unloaded delivery according size load content description transported delivery locally road managed discrepancy documentation incoming shipment submitted delivery documentation timely manner maintained daily legible dot log book submitted corresponding document completed basic maintenance minor repair keep vehicle neat running properly reported accident damage malfunction involving company equipment management inspected truck defect safe operating condition trip established maintained excellent customer relationship answered customer question regarding delivery promptly accurately loaded unloaded freight assure safety minimize risk damage dangerous condition number number number number aviation machinist mate supervised creation validation anti terrorism plan ship developed led training program preparation combat operated maintained communication equipment documented processed classified material recommended retransmission equipment employment based capability equipment mission requirement guided coordinated unit force protection program meet fleet requirement planned briefed personnel mission established commanded field communication operation routinely checked measuring equipment,AUTOMOBILE,AVIATION
language art teacher professional continue working child well youth able utilize expertise area elementary middle school core qualification ability communicate inspire trust confidence motivate child well understand child educational emotional need ability recognize respond individual cultural difference child employ different teaching method result higher student achievement organized dependable patient creative able work cooperatively communicate effectively teacher support staff parent member community computer wordperfect microsoft word powerpoint leadership language art teacher august number current co advisor team leader august number may number tutor sixth seventh grade student tested basic basic language art work student varied ethnic racial religious background administrator standardized augmented benchmark test maintain accountability student safety whereabouts hour operation teach language art daily sixth grade student perform intervention benchmark sat standardized test help child become proficient language art assess student reading comprehensive group discussion testing oral writing response allowed student use computer individual research project gather information continue take technology course update advance computer instruct use latest technology classroom prepare lesson plan computer attends going staff development southeast middle school throughout school year attends going staff development pine bluff school district planned evaluated assigned lesson prepared administered graded test listened oral presentation maintained classroom discipline graded paper prepared report card met parent school staff discus student academic progress personal problem observed evaluated student performance potential increasingly use various assessment method encouraged collaboration solving problem student work group discus solve problem together administered test assessment pine bluff school district pine bluff arkansas elementary teacher teach mathematics language spelling reading social study arkansas history health science certified teacher august number may number played important role fostering intellectual social development child formative year tutored fifth grade student tested basic basic math language art work student varied ethnic racial religious background leader fifth grade team taught using classroom presentation individual instruction help student learn apply concept subject mathematics science social study spelling language art arkansas history health planned evaluated assigned lesson prepared administered graded test listened oral presentation maintained classroom discipline graded paper prepared report card met parent school staff discus student academic progress personal problem observed evaluated student performance potential increasingly use various assessment method used hand approach us prop manipulative help child understand abstract concept solve problem develop critical thought process encouraged collaboration solving problem student work group discus solve problem together prepared lesson plan administered test assessment supervised student playground duty indoor outdoor activity supervised student field trip special event maintained control accounted whereabouts safety student helped prepare arrange maintain indoor outdoor activity including limited fun day working parent child care center pine bluff arkansas teacher four year old child played vital role development child introduced child mathematics language science social study used game music artwork film book computer tool teach basic capitalized child play language vocabulary development using storytelling rhyming game acting game improved social child work together build neighborhood sandbox introduced scientific mathematical concept showing child balance count block building bridge mix color painting used less structured approach including small group lesson one one instruction learning creative activity art dance music introduced letter recognition phonics number awareness nature science established working relationship child parent elementary may number university arkansas pine bluff usa elementary b elementary may number university arkansas pine bluff usa elementary professional affiliation pbea pine bluff association aea arkansas association personal information elementary middle school teacher ability communicate inspire trust confidence motivate student well understand student educational emotional need ability recognize respond individual cultural difference student employ different teaching method result higher student achievement organized dependable patient creative able work cooperatively communicate effectively teacher support staff parent member community certified pathwise mentor teacher academic approach art,ARTS,TEACHER
sale representative food service worker fast food retail customer service trained food safety handling also sale representative highlight reliable punctual reliable team worker cash handling comfortable standing long time period math language conversant spanish restaurant management excellent multi tasker fast learner self motivated able work fast paced environment able count daily bank deposit able stay busy focused sale representative sep number sep number keep record purchase sale requisition select correct product assist customer making product selection based customer need product specification applicable regulation collaborate colleague exchange information selling strategy marketing information demonstrate explain operation use product inform customer estimated delivery schedule service contract warranty information pertaining purchased product attend sale trade meeting read related publication order obtain information market condition business trend industry development complete expense report sale report paperwork complete product development training required swing manager aug number sep number made sure crew member designated break close open store timely manner run shift full responsibility come charge verify prepared food meet requirement quality quantity sold additional menu item beverage dessert increase restaurant profit recorded customer order repeated back clear understandable manner operated large volume cooking equipment grill deep fat fryer griddle properly portioned packaged take food customer clean food preparation area cooking surface utensil maintain sanitation health safety standard work area monitor compliance health fire regulation regarding food preparation serving building maintenance lodging dining facility read food order slip receive verbal instruction food required patron prepare cook food according instruction investigate resolve complaint regarding food quality service accommodation take food drink order receive payment customer schedule receive food beverage delivery checking delivery content verify product quality quantity clean stock restock workstation display case perform food preparation service task cooking clearing table serving food drink necessary serve order customer window counter table count money make bank deposit investigate resolve complaint regarding food quality service accommodation store food designated container storage area prevent spoilage take record temperature food food storage area refrigerator freezer remove trash clean kitchen garbage container inform supervisor equipment working properly food supply getting low order needed item operate cash register handle money give correct change prepare serve variety beverage coffee tea soft drink assembler apr number jun number able lift least lb occasionally work little supervision fast efficient attaching part inspect operate test completed product verify functioning machine capability conformance customer specification rework repair replace damaged part assembly read interpret assembly blueprint specification manual plan assembly building operation shovel sweep otherwise clean work area maintain stock part lubricate moving part disassemble defective equipment repair made using hand tool adjust working part fan belt contact spring using hand tool gauge crew sep number nov number train worker food preparation service sanitation safety procedure take food drink order receive payment customer compile balance cash receipt end day shift clean stock restock workstation display case perform various financial activity cash handling deposit preparation wash cut prepare food designated cooking supervise participate kitchen dining area cleaning activity estimate ingredient supply required prepare recipe check identification customer verify age requirement purchase alcohol resolve customer complaint regarding food service clean bar work area table present bill accept payment high school diploma jun number saint james high school united state maintained b honor roll number number gpa involved music music project school member latina club language bilingual speaks fluent spanish cash handling cash register cooking resolving customer complaint delivery expense report fast hand tool inspecting marketing market meeting money repair safety selling sale sale report fluent spanish supervision,SALES,CHEF
